"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 11- 18","49,165,000","49,400,000","49,504,000","48,862,000","1.85K","-0.44%"
"2023- 11- 17","49,381,000","48,867,000","49,501,000","48,553,000","3.48K","1.03%"
"2023- 11- 16","48,878,000","50,456,000","50,650,000","48,118,000","5.43K","-3.13%"
"2023- 11- 15","50,457,000","47,969,000","50,550,000","47,021,000","6.31K","5.19%"
"2023- 11- 14","47,969,000","49,150,000","49,625,000","47,528,000","5.90K","-2.41%"
"2023- 11- 13","49,154,000","49,429,000","49,803,000","49,000,000","3.62K","-0.53%"
"2023- 11- 12","49,418,000","49,629,000","49,910,000","49,149,000","3.27K","-0.43%"
"2023- 11- 11","49,629,000","50,042,000","50,100,000","49,231,000","3.53K","-0.78%"
"2023- 11- 10","50,018,000","49,400,000","50,215,000","48,759,000","6.04K","1.25%"
"2023- 11- 09","49,400,000","47,458,000","50,271,000","47,407,000","11.14K","4.06%"
"2023- 11- 08","47,472,000","47,301,000","47,899,000","46,927,000","2.95K","0.36%"
"2023- 11- 07","47,301,000","46,781,000","47,691,000","46,300,000","3.94K","1.11%"
"2023- 11- 06","46,780,000","47,056,000","47,195,000","46,471,000","3.50K","-0.59%"
"2023- 11- 05","47,056,000","47,051,000","47,500,000","46,682,000","3.39K","0.01%"
"2023- 11- 04","47,052,000","46,676,000","47,238,000","46,473,000","2.81K","0.81%"
"2023- 11- 03","46,675,000","47,524,000","47,524,000","46,207,000","4.94K","-1.78%"
"2023- 11- 02","47,520,000","48,101,000","48,653,000","46,755,000","5.97K","-1.16%"
"2023- 11- 01","48,079,000","47,024,000","48,160,000","46,728,000","6.32K","2.23%"
"2023- 10- 31","47,030,000","46,732,000","47,050,000","46,322,000","4.12K","0.63%"
"2023- 10- 30","46,734,000","46,865,000","47,210,000","46,419,000","4.14K","-0.19%"
"2023- 10- 29","46,825,000","46,314,000","47,028,000","46,285,000","2.41K","1.09%"
"2023- 10- 28","46,322,000","45,980,000","46,754,000","45,966,000","2.19K","0.74%"
"2023- 10- 27","45,980,000","46,141,000","46,205,000","45,450,000","3.08K","-0.31%"
"2023- 10- 26","46,123,000","46,485,000","47,092,000","45,641,000","6.70K","-0.77%"
"2023- 10- 25","46,482,000","45,602,000","47,353,000","45,558,000","7.59K","1.95%"
"2023- 10- 24","45,593,000","44,186,000","47,416,000","43,838,000","17.11K","3.21%"
"2023- 10- 23","44,177,000","40,354,000","45,089,000","40,310,000","11.11K","9.47%"
"2023- 10- 22","40,354,000","40,397,000","40,720,000","40,138,000","2.73K","-0.11%"
"2023- 10- 21","40,399,000","40,242,000","40,745,000","39,975,000","2.55K","0.36%"
"2023- 10- 20","40,254,000","38,985,000","40,700,000","38,820,000","6.46K","3.15%"
"2023- 10- 19","39,023,000","38,710,000","39,235,000","38,551,000","4.21K","0.91%"
"2023- 10- 18","38,673,000","38,642,000","39,362,000","38,479,000","2.70K","0.05%"
"2023- 10- 17","38,652,000","38,686,000","38,947,000","38,164,000","3.19K","-0.09%"
"2023- 10- 16","38,686,000","37,089,000","40,675,000","37,000,000","9.13K","4.31%"
"2023- 10- 15","37,086,000","36,789,000","37,189,000","36,661,000","1.65K","0.80%"
"2023- 10- 14","36,790,000","36,969,000","37,156,000","36,721,000","1.22K","-0.48%"
"2023- 10- 13","36,968,000","36,757,000","37,192,000","36,732,000","1.76K","0.59%"
"2023- 10- 12","36,750,000","36,666,000","36,782,000","36,408,000","1.76K","0.21%"
"2023- 10- 11","36,674,000","37,336,000","37,395,000","36,293,000","3.30K","-1.77%"
"2023- 10- 10","37,336,000","37,575,000","37,808,000","37,265,000","2.09K","-0.70%"
"2023- 10- 09","37,599,000","37,951,000","38,046,000","37,248,000","3.19K","-0.87%"
"2023- 10- 08","37,929,000","37,913,000","38,109,000","37,654,000","1.88K","0.07%"
"2023- 10- 07","37,902,000","37,780,000","37,997,000","37,735,000","1.01K","0.28%"
"2023- 10- 06","37,797,000","37,247,000","38,124,000","37,050,000","2.40K","1.45%"
"2023- 10- 05","37,258,000","37,591,000","38,094,000","37,240,000","2.33K","-0.89%"
"2023- 10- 04","37,593,000","37,198,000","37,740,000","37,036,000","2.39K","1.06%"
"2023- 10- 03","37,197,000","37,433,000","37,791,000","37,016,000","2.60K","-0.61%"
