"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 22","631.00","598.00","637.00","591.00","248.76M","5.52%"
"2023- 04- 21","598.00","632.00","639.00","588.00","307.98M","-5.53%"
"2023- 04- 20","633.00","653.00","662.00","619.00","283.07M","-3.21%"
"2023- 04- 19","654.00","694.00","700.00","647.00","390.79M","-5.63%"
"2023- 04- 18","693.00","672.00","703.00","669.00","170.35M","3.13%"
"2023- 04- 17","672.00","681.00","682.00","668.00","136.10M","-1.32%"
"2023- 04- 16","681.00","683.00","688.00","678.00","86.06M","-0.44%"
"2023- 04- 15","684.00","682.00","691.00","678.00","102.97M","0.29%"
"2023- 04- 14","682.00","672.00","711.00","671.00","310.06M","1.49%"
"2023- 04- 13","672.00","670.00","677.00","667.00","115.32M","0.45%"
"2023- 04- 12","669.00","684.00","686.00","666.00","173.29M","-2.34%"
"2023- 04- 11","685.00","680.00","693.00","675.00","172.08M","0.74%"
"2023- 04- 10","680.00","666.00","684.00","662.00","117.11M","2.10%"
"2023- 04- 09","666.00","670.00","675.00","661.00","80.83M","-0.45%"
"2023- 04- 08","669.00","679.00","679.00","668.00","88.67M","-1.47%"
"2023- 04- 07","679.00","664.00","683.00","660.00","208.08M","2.26%"
"2023- 04- 06","664.00","667.00","674.00","654.00","209.28M","-0.45%"
"2023- 04- 05","667.00","663.00","692.00","658.00","306.48M","0.60%"
"2023- 04- 04","663.00","657.00","669.00","645.00","252.75M","1.07%"
"2023- 04- 03","656.00","685.00","695.00","644.00","376.23M","-4.23%"
"2023- 04- 02","685.00","674.00","699.00","663.00","433.76M","1.63%"
"2023- 04- 01","674.00","709.00","709.00","659.00","535.06M","-5.07%"
"2023- 03- 31","710.00","707.00","724.00","700.00","406.10M","0.42%"
"2023- 03- 30","707.00","715.00","740.00","692.00","835.58M","-1.12%"
"2023- 03- 29","715.00","679.00","767.00","679.00","1.39B","5.15%"
"2023- 03- 28","680.00","638.00","700.00","621.00","1.10B","6.75%"
"2023- 03- 27","637.00","595.00","648.00","591.00","1.08B","6.88%"
"2023- 03- 26","596.00","592.00","617.00","588.00","376.64M","0.51%"
"2023- 03- 25","593.00","570.00","619.00","563.00","732.47M","4.22%"
"2023- 03- 24","569.00","585.00","585.00","559.00","353.69M","-2.74%"
"2023- 03- 23","585.00","562.00","602.00","547.00","798.70M","4.28%"
"2023- 03- 22","561.00","622.00","629.00","549.00","1.14B","-9.66%"
"2023- 03- 21","621.00","502.00","653.00","501.00","1.80B","23.46%"
"2023- 03- 20","503.00","514.00","519.00","501.00","275.58M","-2.14%"
"2023- 03- 19","514.00","497.00","529.00","496.00","497.59M","3.42%"
"2023- 03- 18","497.00","501.00","515.00","494.00","305.25M","-0.80%"
"2023- 03- 17","501.00","486.00","506.00","484.00","395.15M","3.30%"
"2023- 03- 16","485.00","481.00","488.00","477.00","157.44M","0.62%"
"2023- 03- 15","482.00","490.00","494.00","479.00","292.80M","-1.63%"
"2023- 03- 14","490.00","490.00","505.00","479.00","546.72M","0.00%"
"2023- 03- 13","490.00","494.00","501.00","473.00","546.20M","-0.81%"
"2023- 03- 12","494.00","493.00","495.00","467.00","363.67M","0.20%"
"2023- 03- 11","493.00","502.00","507.00","489.00","212.42M","-1.60%"
"2023- 03- 10","501.00","502.00","506.00","490.00","355.68M","-0.20%"
"2023- 03- 09","502.00","520.00","531.00","497.00","418.06M","-3.28%"
"2023- 03- 08","519.00","506.00","534.00","497.00","580.06M","2.77%"
"2023- 03- 07","505.00","491.00","512.00","489.00","329.17M","2.85%"
"2023- 03- 06","491.00","491.00","497.00","480.00","165.32M","0.00%"
"2023- 03- 05","491.00","499.00","502.00","490.00","104.81M","-1.60%"
"2023- 03- 04","499.00","502.00","507.00","495.00","117.45M","-0.40%"
"2023- 03- 03","501.00","500.00","505.00","481.00","257.97M","0.20%"
"2023- 03- 02","500.00","506.00","506.00","497.00","143.93M","-0.99%"
"2023- 03- 01","505.00","504.00","507.00","499.00","157.91M","0.20%"
"2023- 02- 28","504.00","503.00","509.00","496.00","167.32M","0.00%"
"2023- 02- 27","504.00","502.00","507.00","495.00","173.27M","0.40%"
"2023- 02- 26","502.00","505.00","505.00","500.00","89.05M","-0.40%"
"2023- 02- 25","504.00","504.00","505.00","496.00","126.95M","0.20%"
"2023- 02- 24","503.00","509.00","511.00","496.00","210.81M","-1.18%"
"2023- 02- 23","509.00","516.00","518.00","506.00","179.84M","-1.36%"
"2023- 02- 22","516.00","509.00","520.00","501.00","272.53M","1.38%"
"2023- 02- 21","509.00","512.00","519.00","505.00","284.47M","-0.59%"
"2023- 02- 20","512.00","501.00","523.00","495.00","374.88M","2.20%"
"2023- 02- 19","501.00","509.00","512.00","500.00","197.99M","-1.57%"
"2023- 02- 18","509.00","508.00","513.00","504.00","132.79M","0.20%"
"2023- 02- 17","508.00","499.00","514.00","495.00","212.44M","1.80%"
"2023- 02- 16","499.00","514.00","519.00","497.00","312.07M","-3.11%"
"2023- 02- 15","515.00","495.00","516.00","489.00","236.73M","4.04%"
"2023- 02- 14","495.00","481.00","497.00","473.00","220.61M","2.91%"
"2023- 02- 13","481.00","487.00","489.00","471.00","242.18M","-1.03%"
"2023- 02- 12","486.00","497.00","498.00","485.00","120.98M","-2.02%"
"2023- 02- 11","496.00","497.00","498.00","495.00","95.42M","-0.20%"
"2023- 02- 10","497.00","493.00","499.00","490.00","197.29M","0.81%"
"2023- 02- 09","493.00","507.00","519.00","490.00","403.43M","-2.76%"
"2023- 02- 08","507.00","511.00","512.00","503.00","161.14M","-0.59%"
"2023- 02- 07","510.00","504.00","512.00","500.00","200.51M","1.39%"
"2023- 02- 06","503.00","504.00","512.00","500.00","196.21M","-0.20%"
"2023- 02- 05","504.00","518.00","520.00","501.00","222.90M","-2.70%"
"2023- 02- 04","518.00","517.00","527.00","515.00","158.30M","0.39%"
"2023- 02- 03","516.00","515.00","519.00","512.00","189.36M","0.00%"
"2023- 02- 02","516.00","516.00","523.00","512.00","203.01M","0.00%"
"2023- 02- 01","516.00","510.00","519.00","498.00","252.39M","1.18%"
"2023- 01- 31","510.00","495.00","514.00","486.00","254.38M","2.82%"
"2023- 01- 30","496.00","518.00","528.00","489.00","341.55M","-4.06%"
"2023- 01- 29","517.00","516.00","521.00","513.00","152.75M","0.19%"
"2023- 01- 28","516.00","518.00","523.00","511.00","158.13M","-0.39%"
"2023- 01- 27","518.00","515.00","518.00","503.00","207.09M","0.58%"
"2023- 01- 26","515.00","520.00","521.00","511.00","236.25M","-0.96%"
"2023- 01- 25","520.00","511.00","527.00","498.00","307.21M","1.56%"
"2023- 01- 24","512.00","527.00","538.00","503.00","366.76M","-3.03%"
"2023- 01- 23","528.00","502.00","543.00","501.00","684.78M","5.39%"
"2023- 01- 22","501.00","503.00","512.00","497.00","240.40M","-0.40%"
"2023- 01- 21","503.00","511.00","519.00","501.00","341.74M","-1.57%"
"2023- 01- 20","511.00","489.00","511.00","482.00","278.45M","4.50%"
"2023- 01- 19","489.00","471.00","492.00","471.00","275.62M","3.82%"
"2023- 01- 18","471.00","481.00","491.00","462.00","432.32M","-2.08%"
"2023- 01- 17","481.00","481.00","494.00","472.00","262.62M","0.21%"
"2023- 01- 16","480.00","477.00","503.00","472.00","456.61M","0.63%"
"2023- 01- 15","477.00","489.00","490.00","471.00","301.10M","-2.25%"
"2023- 01- 14","488.00","480.00","507.00","476.00","639.01M","1.46%"
"2023- 01- 13","481.00","469.00","482.00","464.00","288.53M","2.34%"
"2023- 01- 12","470.00","467.00","476.00","458.00","357.27M","0.43%"
"2023- 01- 11","468.00","442.00","474.00","440.00","541.50M","5.88%"
"2023- 01- 10","442.00","439.00","445.00","433.00","202.59M","0.68%"
"2023- 01- 09","439.00","438.00","449.00","435.00","391.35M","0.23%"
"2023- 01- 08","438.00","438.00","439.00","431.00","120.28M","0.00%"
"2023- 01- 07","438.00","436.00","441.00","433.00","83.79M","0.23%"
"2023- 01- 06","437.00","433.00","438.00","422.00","170.84M","0.92%"
"2023- 01- 05","433.00","444.00","447.00","432.00","167.65M","-2.70%"
"2023- 01- 04","445.00","440.00","450.00","438.00","179.72M","1.14%"
"2023- 01- 03","440.00","442.00","448.00","436.00","175.55M","-0.68%"
"2023- 01- 02","443.00","431.00","452.00","408.00","364.73M","2.78%"
"2023- 01- 01","431.00","432.00","433.00","428.00","76.52M","-0.23%"
"2022- 12- 31","432.00","439.00","441.00","431.00","97.95M","-1.59%"
"2022- 12- 30","439.00","436.00","439.00","422.00","187.84M","0.46%"
"2022- 12- 29","437.00","454.00","456.00","431.00","257.89M","-3.53%"
"2022- 12- 28","453.00","468.00","471.00","451.00","220.94M","-3.21%"
"2022- 12- 27","468.00","469.00","478.00","457.00","243.73M","-0.21%"
"2022- 12- 26","469.00","449.00","475.00","448.00","196.44M","4.45%"
"2022- 12- 25","449.00","459.00","459.00","448.00","84.04M","-1.97%"
"2022- 12- 24","458.00","461.00","462.00","458.00","48.38M","-0.65%"
"2022- 12- 23","461.00","455.00","462.00","450.00","112.45M","1.54%"
"2022- 12- 22","454.00","450.00","455.00","444.00","149.08M","1.11%"
"2022- 12- 21","449.00","454.00","457.00","442.00","148.53M","-1.10%"
"2022- 12- 20","454.00","447.00","460.00","442.00","219.70M","1.57%"
"2022- 12- 19","447.00","465.00","467.00","440.00","250.45M","-3.66%"
"2022- 12- 18","464.00","470.00","472.00","462.00","89.76M","-1.28%"
"2022- 12- 17","470.00","470.00","475.00","461.00","177.41M","0.00%"
"2022- 12- 16","470.00","499.00","500.00","462.00","279.16M","-5.81%"
"2022- 12- 15","499.00","504.00","507.00","495.00","147.76M","-0.99%"
"2022- 12- 14","504.00","516.00","516.00","498.00","153.40M","-2.14%"
"2022- 12- 13","515.00","514.00","521.00","499.00","275.63M","0.19%"
"2022- 12- 12","514.00","507.00","517.00","495.00","184.54M","1.38%"
"2022- 12- 11","507.00","516.00","517.00","506.00","81.95M","-1.55%"
"2022- 12- 10","515.00","519.00","519.00","515.00","75.46M","-0.77%"
"2022- 12- 09","519.00","524.00","525.00","514.00","113.94M","-0.95%"
"2022- 12- 08","524.00","514.00","527.00","513.00","148.97M","2.14%"
"2022- 12- 07","513.00","523.00","524.00","503.00","166.63M","-1.91%"
"2022- 12- 06","523.00","521.00","524.00","511.00","135.88M","0.38%"
"2022- 12- 05","521.00","523.00","526.00","514.00","175.37M","-0.38%"
"2022- 12- 04","523.00","524.00","528.00","520.00","97.63M","-0.19%"
"2022- 12- 03","524.00","530.00","534.00","521.00","93.63M","-1.13%"
"2022- 12- 02","530.00","538.00","538.00","516.00","157.65M","-1.30%"
"2022- 12- 01","537.00","553.00","553.00","535.00","144.98M","-2.72%"
"2022- 11- 30","552.00","542.00","555.00","535.00","209.90M","1.85%"
"2022- 11- 29","542.00","535.00","550.00","526.00","204.19M","1.31%"
"2022- 11- 28","535.00","545.00","549.00","518.00","266.57M","-2.01%"
"2022- 11- 27","546.00","546.00","565.00","544.00","207.36M","0.18%"
"2022- 11- 26","545.00","559.00","568.00","543.00","173.75M","-2.33%"
"2022- 11- 25","558.00","549.00","574.00","534.00","382.27M","1.45%"
"2022- 11- 24","550.00","528.00","555.00","511.00","312.16M","4.17%"
"2022- 11- 23","528.00","523.00","529.00","514.00","231.95M","0.96%"
"2022- 11- 22","523.00","514.00","526.00","496.00","311.80M","1.95%"
"2022- 11- 21","513.00","505.00","518.00","486.00","394.29M","1.58%"
"2022- 11- 20","505.00","531.00","548.00","502.00","321.65M","-4.90%"
"2022- 11- 19","531.00","524.00","535.00","523.00","156.56M","0.57%"
"2022- 11- 18","528.00","522.00","530.00","518.00","228.48M","0.38%"
"2022- 11- 17","526.00","517.00","533.00","510.00","383.09M","1.94%"
"2022- 11- 16","516.00","529.00","534.00","500.00","377.85M","-2.64%"
"2022- 11- 15","530.00","515.00","539.00","502.00","687.68M","2.91%"
