"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 02- 01","355.0000","348.0000","358.0000","325.0000","14.28M","2.01%"
"2023- 01- 31","348.0000","346.0000","349.0000","332.0000","6.75M","0.58%"
"2023- 01- 30","346.0000","375.0000","375.0000","341.0000","11.27M","-7.73%"
"2023- 01- 29","375.0000","369.0000","381.0000","367.0000","14.84M","1.63%"
"2023- 01- 28","369.0000","374.0000","375.0000","359.0000","8.32M","-1.07%"
"2023- 01- 27","373.0000","370.0000","374.0000","357.0000","17.34M","0.54%"
"2023- 01- 26","371.0000","374.0000","408.0000","362.0000","121.20M","4.80%"
"2023- 01- 25","354.0000","346.0000","368.0000","333.0000","27.69M","2.31%"
"2023- 01- 24","346.0000","355.0000","406.0000","337.0000","175.78M","-2.54%"
"2023- 01- 23","355.0000","351.0000","357.0000","344.0000","12.61M","1.14%"
"2023- 01- 22","351.0000","346.0000","356.0000","343.0000","14.20M","1.45%"
"2023- 01- 21","346.0000","349.0000","352.0000","341.0000","15.52M","-0.57%"
"2023- 01- 20","348.0000","328.0000","360.0000","326.0000","57.01M","5.78%"
"2023- 01- 19","329.0000","317.0000","346.0000","317.0000","22.41M","3.79%"
"2023- 01- 18","317.0000","343.0000","349.0000","315.0000","15.30M","-7.58%"
"2023- 01- 17","343.0000","333.0000","347.0000","321.0000","18.09M","3.00%"
"2023- 01- 16","333.0000","361.0000","361.0000","318.0000","34.74M","1.52%"
"2023- 01- 15","328.0000","320.0000","354.0000","310.0000","42.06M","2.82%"
"2023- 01- 14","319.0000","308.0000","325.0000","299.0000","24.54M","3.57%"
"2023- 01- 13","308.0000","300.0000","309.0000","295.0000","7.26M","2.67%"
"2023- 01- 12","300.0000","296.0000","301.0000","286.0000","10.89M","1.35%"
"2023- 01- 11","296.0000","288.0000","303.0000","285.0000","21.88M","2.78%"
"2023- 01- 10","288.0000","280.0000","294.0000","276.0000","17.15M","2.86%"
"2023- 01- 09","280.0000","270.0000","296.0000","270.0000","35.56M","3.70%"
"2023- 01- 08","270.0000","266.0000","272.0000","264.0000","4.34M","1.50%"
"2023- 01- 07","266.0000","265.0000","268.0000","263.0000","2.85M","0.38%"
"2023- 01- 06","265.0000","271.0000","273.0000","259.0000","4.48M","-2.21%"
"2023- 01- 05","271.0000","271.0000","280.0000","268.0000","7.32M","0.00%"
"2023- 01- 04","271.0000","268.0000","273.0000","267.0000","2.38M","1.12%"
"2023- 01- 03","268.0000","265.0000","274.0000","262.0000","3.65M","1.13%"
"2023- 01- 02","265.0000","261.0000","271.0000","257.0000","3.20M","1.53%"
"2023- 01- 01","261.0000","262.0000","264.0000","259.0000","1.09M","-0.38%"
"2022- 12- 31","262.0000","256.0000","263.0000","253.0000","3.38M","2.34%"
"2022- 12- 30","256.0000","263.0000","270.0000","249.0000","5.62M","-2.66%"
"2022- 12- 29","263.0000","264.0000","267.0000","252.0000","3.75M","-0.38%"
"2022- 12- 28","264.0000","282.0000","284.0000","259.0000","6.46M","-6.38%"
"2022- 12- 27","282.0000","296.0000","296.0000","280.0000","5.27M","-4.41%"
"2022- 12- 26","295.0000","302.0000","315.0000","291.0000","8.76M","-2.32%"
"2022- 12- 25","302.0000","312.0000","313.0000","298.0000","2.88M","-3.21%"
"2022- 12- 24","312.0000","304.0000","317.0000","304.0000","12.29M","2.30%"
"2022- 12- 23","305.0000","301.0000","306.0000","296.0000","2.69M","1.33%"
"2022- 12- 22","301.0000","305.0000","316.0000","291.0000","9.05M","-1.31%"
"2022- 12- 21","305.0000","302.0000","317.0000","300.0000","12.15M","0.99%"
"2022- 12- 20","302.0000","292.0000","304.0000","286.0000","5.78M","3.42%"
"2022- 12- 19","292.0000","311.0000","312.0000","282.0000","6.18M","-6.11%"
"2022- 12- 18","311.0000","313.0000","313.0000","306.0000","1.94M","-0.64%"
"2022- 12- 17","313.0000","311.0000","324.0000","304.0000","11.07M","0.64%"
"2022- 12- 16","311.0000","334.0000","339.0000","305.0000","6.91M","-6.89%"
"2022- 12- 15","334.0000","342.0000","346.0000","332.0000","3.57M","-2.34%"
"2022- 12- 14","342.0000","345.0000","346.0000","340.0000","3.21M","-0.87%"
"2022- 12- 13","345.0000","344.0000","347.0000","330.0000","5.27M","0.29%"
"2022- 12- 12","344.0000","355.0000","355.0000","333.0000","6.13M","-3.10%"
"2022- 12- 11","355.0000","360.0000","360.0000","354.0000","2.77M","-1.39%"
"2022- 12- 10","360.0000","353.0000","360.0000","351.0000","3.60M","1.98%"
"2022- 12- 09","353.0000","353.0000","356.0000","350.0000","1.98M","0.00%"
"2022- 12- 08","353.0000","351.0000","367.0000","343.0000","9.28M","0.57%"
"2022- 12- 07","351.0000","366.0000","366.0000","340.0000","5.08M","-4.10%"
"2022- 12- 06","366.0000","365.0000","366.0000","362.0000","1.41M","0.27%"
"2022- 12- 05","365.0000","368.0000","368.0000","362.0000","2.44M","-0.82%"
"2022- 12- 04","368.0000","365.0000","375.0000","361.0000","4.55M","0.82%"
"2022- 12- 03","365.0000","366.0000","369.0000","362.0000","1.76M","-0.27%"
"2022- 12- 02","366.0000","370.0000","370.0000","360.0000","3.42M","-1.08%"
"2022- 12- 01","370.0000","373.0000","384.0000","365.0000","10.16M","-0.80%"
"2022- 11- 30","373.0000","365.0000","378.0000","364.0000","9.09M","2.19%"
"2022- 11- 29","365.0000","363.0000","376.0000","361.0000","5.47M","0.55%"
"2022- 11- 28","363.0000","376.0000","376.0000","361.0000","3.83M","-3.46%"
"2022- 11- 27","376.0000","376.0000","377.0000","372.0000","3.35M","-0.27%"
"2022- 11- 26","377.0000","377.0000","381.0000","373.0000","3.74M","0.00%"
"2022- 11- 25","377.0000","381.0000","400.0000","365.0000","13.36M","-1.05%"
"2022- 11- 24","381.0000","398.0000","405.0000","361.0000","11.45M","-4.27%"
"2022- 11- 23","398.0000","378.0000","398.0000","378.0000","14.26M","5.29%"
"2022- 11- 22","378.0000","368.0000","382.0000","356.0000","14.59M","3.00%"
"2022- 11- 21","367.0000","368.0000","382.0000","356.0000","9.05M","-0.27%"
"2022- 11- 20","368.0000","379.0000","395.0000","364.0000","14.54M","-3.16%"
"2022- 11- 19","380.0000","383.0000","383.0000","375.0000","9.46M","3.54%"
"2022- 11- 18","367.0000","364.0000","368.0000","363.0000","3.22M","0.55%"
"2022- 11- 17","365.0000","366.0000","379.0000","354.0000","11.88M","0.27%"
"2022- 11- 16","364.0000","369.0000","372.0000","354.0000","4.68M","-1.36%"
"2022- 11- 15","369.0000","361.0000","371.0000","349.0000","9.36M","2.22%"
"2022- 11- 14","361.0000","348.0000","401.0000","332.0000","63.37M","3.74%"
"2022- 11- 13","348.0000","371.0000","382.0000","337.0000","6.99M","-6.20%"
"2022- 11- 12","371.0000","387.0000","388.0000","365.0000","4.66M","-4.13%"
"2022- 11- 11","387.0000","381.0000","406.0000","353.0000","26.94M","1.04%"
"2022- 11- 10","383.0000","324.0000","399.0000","323.0000","54.08M","18.21%"
"2022- 11- 09","324.0000","411.0000","421.0000","301.0000","21.55M","-21.17%"
