"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 05- 10","138,150.0","144,850.0","148,700.0","138,150.0","15.65M","-5.18%"
"2021- 05- 09","145,700.0","156,800.0","156,800.0","144,500.0","14.31M","-7.20%"
"2021- 05- 08","157,000.0","146,500.0","157,000.0","140,200.0","24.89M","7.87%"
"2021- 05- 07","145,550.0","158,000.0","163,400.0","145,550.0","43.92M","-9.26%"
"2021- 05- 06","160,400.0","111,700.0","169,500.0","111,700.0","67.98M","43.73%"
"2021- 05- 05","111,600.0","95,030.0","111,600.0","89,710.0","57.59M","26.88%"
"2021- 05- 04","87,960.0","63,710.0","87,960.0","63,710.0","69.03M","38.28%"
"2021- 05- 03","63,610.0","54,200.0","63,610.0","54,200.0","37.39M","17.04%"
"2021- 05- 02","54,350.0","53,320.0","55,790.0","53,320.0","24.83M","2.01%"
"2021- 05- 01","53,280.0","42,750.0","53,280.0","42,750.0","28.06M","24.63%"
"2021- 04- 30","42,750.0","41,130.0","42,750.0","40,890.0","6.33M","3.94%"
"2021- 04- 29","41,130.0","41,200.0","41,200.0","40,240.0","6.70M","-0.12%"
"2021- 04- 28","41,180.0","39,890.0","41,180.0","38,560.0","17.17M","3.26%"
"2021- 04- 27","39,880.0","39,070.0","39,880.0","39,070.0","9.53M","2.13%"
"2021- 04- 26","39,050.0","36,100.0","39,050.0","36,100.0","9.23M","8.20%"
"2021- 04- 25","36,090.0","36,300.0","36,580.0","35,700.0","11.65M","-0.52%"
"2021- 04- 24","36,280.0","39,450.0","39,450.0","36,280.0","11.46M","-7.92%"
"2021- 04- 23","39,400.0","40,340.0","40,340.0","37,620.0","34.69M","-0.25%"
"2021- 04- 22","39,500.0","40,590.0","47,410.0","39,500.0","34.80M","-2.71%"
"2021- 04- 21","40,600.0","43,040.0","43,040.0","40,600.0","5.82M","-5.63%"
"2021- 04- 20","43,020.0","43,350.0","43,350.0","41,330.0","14.48M","-0.74%"
"2021- 04- 19","43,340.0","50,680.0","50,680.0","43,340.0","10.04M","-14.35%"
"2021- 04- 18","50,600.0","49,130.0","50,600.0","46,170.0","28.69M","3.05%"
"2021- 04- 17","49,100.0","49,180.0","54,140.0","49,100.0","31.62M","-0.02%"
"2021- 04- 16","49,110.0","36,200.0","49,110.0","36,200.0","48.92M","35.55%"
"2021- 04- 15","36,230.0","28,110.0","36,230.0","27,880.0","21.41M","29.21%"
"2021- 04- 14","28,040.0","26,900.0","29,450.0","26,900.0","8.56M","4.08%"
"2021- 04- 13","26,940.0","25,600.0","27,460.0","25,600.0","3.92M","5.23%"
"2021- 04- 12","25,600.0","26,770.0","26,770.0","25,370.0","2.42M","-4.41%"
"2021- 04- 11","26,780.0","26,810.0","27,100.0","26,600.0","5.12M","-0.07%"
"2021- 04- 10","26,800.0","24,700.0","26,800.0","24,700.0","7.31M","8.50%"
"2021- 04- 09","24,700.0","25,650.0","25,650.0","24,470.0","4.04M","-4.15%"
"2021- 04- 08","25,770.0","25,100.0","25,770.0","23,210.0","9.23M","2.42%"
"2021- 04- 07","25,160.0","24,050.0","26,430.0","21,600.0","32.13M","4.62%"
"2021- 04- 06","24,050.0","21,920.0","24,050.0","21,920.0","10.75M","9.82%"
"2021- 04- 05","21,900.0","18,540.0","21,900.0","18,540.0","4.97M","18.19%"
"2021- 04- 04","18,530.0","17,420.0","18,530.0","17,420.0","1.53M","6.37%"
"2021- 04- 03","17,420.0","19,140.0","19,570.0","17,420.0","2.98M","-8.80%"
"2021- 04- 02","19,100.0","17,740.0","19,240.0","17,740.0","2.62M","7.67%"
"2021- 04- 01","17,740.0","17,390.0","17,740.0","17,240.0","2.70M","1.95%"
"2021- 03- 31","17,400.0","15,930.0","17,400.0","15,500.0","2.86M","9.16%"
"2021- 03- 30","15,940.0","15,170.0","15,940.0","15,170.0","1.68M","5.01%"
"2021- 03- 29","15,180.0","14,300.0","15,180.0","14,300.0","1.39M","6.23%"
"2021- 03- 28","14,290.0","14,050.0","14,410.0","14,050.0","1.06M","1.71%"
"2021- 03- 27","14,050.0","14,200.0","14,200.0","14,000.0","804.87K","-1.06%"
"2021- 03- 26","14,200.0","13,700.0","14,280.0","13,700.0","1.13M","3.57%"
"2021- 03- 25","13,710.0","13,990.0","13,990.0","13,560.0","1.53M","-1.86%"
"2021- 03- 24","13,970.0","14,760.0","14,900.0","13,970.0","2.66M","-5.16%"
"2021- 03- 23","14,730.0","13,940.0","14,730.0","13,940.0","7.10M","5.67%"
"2021- 03- 22","13,940.0","14,070.0","14,960.0","13,940.0","3.06M","-0.92%"
"2021- 03- 21","14,070.0","14,330.0","14,480.0","14,070.0","754.20K","-1.75%"
"2021- 03- 20","14,320.0","14,360.0","14,720.0","14,320.0","1.19M","-0.28%"
"2021- 03- 19","14,360.0","14,270.0","14,420.0","14,270.0","683.30K","0.63%"
"2021- 03- 18","14,270.0","14,640.0","14,640.0","14,270.0","629.33K","-2.59%"
"2021- 03- 17","14,650.0","14,440.0","14,650.0","13,810.0","841.14K","1.45%"
"2021- 03- 16","14,440.0","14,070.0","14,500.0","14,070.0","1.05M","2.70%"
"2021- 03- 15","14,060.0","14,800.0","14,800.0","14,010.0","1.30M","-5.06%"
"2021- 03- 14","14,810.0","15,940.0","16,180.0","14,810.0","1.02M","-6.86%"
"2021- 03- 13","15,900.0","13,870.0","15,900.0","13,870.0","1.91M","14.64%"
"2021- 03- 12","13,870.0","14,060.0","14,320.0","13,870.0","823.30K","-1.56%"
"2021- 03- 11","14,090.0","13,800.0","14,300.0","13,800.0","956.62K","2.18%"
"2021- 03- 10","13,790.0","14,350.0","14,490.0","13,790.0","1.22M","-3.97%"
"2021- 03- 09","14,360.0","13,480.0","14,360.0","13,430.0","1.44M","6.13%"
"2021- 03- 08","13,530.0","13,260.0","13,530.0","13,080.0","1.15M","2.04%"
"2021- 03- 07","13,260.0","12,940.0","13,260.0","12,940.0","2.85M","2.08%"
"2021- 03- 06","12,990.0","12,750.0","12,990.0","12,610.0","691.04K","1.88%"
"2021- 03- 05","12,750.0","12,840.0","12,840.0","12,350.0","550.36K","-0.39%"
"2021- 03- 04","12,800.0","12,950.0","13,220.0","12,800.0","966.33K","-1.23%"
"2021- 03- 03","12,960.0","12,680.0","13,100.0","12,680.0","795.92K","2.21%"
"2021- 03- 02","12,680.0","12,630.0","12,830.0","12,600.0","701.69K","0.40%"
"2021- 03- 01","12,630.0","11,900.0","12,630.0","11,710.0","640.39K","6.13%"
"2021- 02- 28","11,900.0","12,890.0","12,890.0","11,530.0","697.93K","-7.68%"
"2021- 02- 27","12,890.0","12,460.0","13,080.0","12,460.0","642.50K","3.53%"
"2021- 02- 26","12,450.0","12,660.0","12,660.0","12,300.0","957.40K","-1.35%"
"2021- 02- 25","12,620.0","13,440.0","13,440.0","12,620.0","978.10K","-5.82%"
"2021- 02- 24","13,400.0","12,810.0","13,810.0","12,810.0","1.18M","4.52%"
"2021- 02- 23","12,820.0","15,840.0","15,840.0","12,070.0","2.16M","-19.12%"
"2021- 02- 22","15,850.0","17,850.0","17,850.0","15,850.0","1.96M","-11.25%"
"2021- 02- 21","17,860.0","17,300.0","18,080.0","17,300.0","1.44M","2.64%"
"2021- 02- 20","17,400.0","17,490.0","18,540.0","17,400.0","1.92M","-0.23%"
"2021- 02- 19","17,440.0","16,820.0","17,440.0","16,820.0","1.10M","3.69%"
"2021- 02- 18","16,820.0","16,630.0","16,980.0","16,620.0","1.00M","1.02%"
"2021- 02- 17","16,650.0","16,060.0","16,810.0","16,060.0","1.34M","3.80%"
"2021- 02- 16","16,040.0","16,250.0","16,650.0","15,870.0","1.08M","-1.29%"
"2021- 02- 15","16,250.0","17,580.0","17,580.0","16,250.0","2.58M","-7.46%"
"2021- 02- 14","17,560.0","17,550.0","18,130.0","17,550.0","4.27M","0.11%"
"2021- 02- 13","17,540.0","12,810.0","17,540.0","12,810.0","4.42M","36.92%"
"2021- 02- 12","12,810.0","12,540.0","13,160.0","12,540.0","1.64M","2.15%"
"2021- 02- 11","12,540.0","11,230.0","12,540.0","11,230.0","1.63M","11.37%"
"2021- 02- 10","11,260.0","10,000.0","11,480.0","10,000.0","4.45M","12.60%"
"2021- 02- 09","10,000.0","9,220.0","10,000.0","9,220.0","2.37M","8.46%"
"2021- 02- 08","9,220.0","8,960.0","9,220.0","8,960.0","1.49M","2.90%"
"2021- 02- 07","8,960.0","9,300.0","9,300.0","8,820.0","1.70M","-3.34%"
"2021- 02- 06","9,270.0","8,970.0","9,270.0","8,970.0","2.59M","3.40%"
"2021- 02- 05","8,965.0","8,260.0","8,965.0","8,260.0","2.60M","8.54%"
"2021- 02- 04","8,260.0","8,495.0","8,495.0","8,175.0","1.88M","-2.71%"
"2021- 02- 03","8,490.0","8,465.0","8,490.0","8,305.0","2.10M","0.30%"
"2021- 02- 02","8,465.0","8,240.0","8,465.0","8,165.0","1.24M","2.73%"
"2021- 02- 01","8,240.0","8,150.0","8,250.0","8,150.0","1.27M","1.10%"
"2021- 01- 31","8,150.0","8,200.0","8,200.0","8,150.0","724.01K","-0.61%"
"2021- 01- 30","8,200.0","8,360.0","8,360.0","8,180.0","830.97K","-1.97%"
"2021- 01- 29","8,365.0","8,370.0","8,610.0","8,365.0","1.89M","-0.06%"
"2021- 01- 28","8,370.0","7,780.0","8,370.0","7,780.0","2.05M","7.86%"
"2021- 01- 27","7,760.0","8,205.0","8,205.0","7,760.0","831.65K","-5.65%"
"2021- 01- 26","8,225.0","8,370.0","8,370.0","8,190.0","1.20M","-1.97%"
